bid;ask;tick;SpreadNominal;SpreadTick;Symbol;time;instrument
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:36Z;RFX20
   36,30;   36,54;0,01;  0,24; 24;WTIJul20;2020-06-11T17:23:36Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:44Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:23:44Z;GGAL
 1739,30; 1740,00;0,10;  0,70;  7;OROJul20;2020-06-11T17:23:44Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:44Z;RFX20
   36,30;   36,54;0,01;  0,24; 24;WTIJul20;2020-06-11T17:23:44Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:53Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:23:53Z;GGAL
 1739,20; 1740,00;0,10;  0,80;  8;OROJul20;2020-06-11T17:23:53Z;ORO
60055,00;60125,00;5,00; 70,00; 14;RFX20Jun20;2020-06-11T17:23:53Z;RFX20
   36,30;   36,54;0,01;  0,24; 24;WTIJul20;2020-06-11T17:23:53Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:01Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:24:01Z;GGAL
 1739,00; 1740,00;0,10;  1,00; 10;OROJul20;2020-06-11T17:24:01Z;ORO
60125,00;60130,00;5,00;  5,00;  1;RFX20Jun20;2020-06-11T17:24:01Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:24:01Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:10Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:10Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:24:10Z;ORO
60065,00;60100,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T17:24:10Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:24:10Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:17Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:17Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:24:17Z;ORO
60065,00;60100,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T17:24:17Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:24:17Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:25Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:25Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:24:25Z;ORO
60065,00;60105,00;5,00; 40,00;  8;RFX20Jun20;2020-06-11T17:24:25Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:24:25Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:32Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:32Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:24:32Z;ORO
60065,00;60105,00;5,00; 40,00;  8;RFX20Jun20;2020-06-11T17:24:32Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:24:32Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:40Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:40Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:24:40Z;ORO
60065,00;60105,00;5,00; 40,00;  8;RFX20Jun20;2020-06-11T17:24:40Z;RFX20
   36,23;   36,50;0,01;  0,27; 27;WTIJul20;2020-06-11T17:24:40Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:47Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:47Z;GGAL
 1738,40; 1740,00;0,10;  1,60; 16;OROJul20;2020-06-11T17:24:47Z;ORO
60065,00;60100,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T17:24:47Z;RFX20
   36,25;   36,50;0,01;  0,25; 25;WTIJul20;2020-06-11T17:24:47Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:24:55Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:24:55Z;GGAL
 1738,40; 1740,00;0,10;  1,60; 16;OROJul20;2020-06-11T17:24:55Z;ORO
60055,00;60065,00;5,00; 10,00;  2;RFX20Jun20;2020-06-11T17:24:55Z;RFX20
   36,26;   36,50;0,01;  0,24; 24;WTIJul20;2020-06-11T17:24:55Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:03Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:25:03Z;GGAL
 1738,60; 1740,00;0,10;  1,40; 14;OROJul20;2020-06-11T17:25:03Z;ORO
60055,00;60065,00;5,00; 10,00;  2;RFX20Jun20;2020-06-11T17:25:03Z;RFX20
   36,27;   36,50;0,01;  0,23; 23;WTIJul20;2020-06-11T17:25:03Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:11Z;DO
  122,60;  122,95;0,05;  0,35;  7;GGALJun20;2020-06-11T17:25:11Z;GGAL
 1738,40; 1740,00;0,10;  1,60; 16;OROJul20;2020-06-11T17:25:11Z;ORO
60020,00;60065,00;5,00; 45,00;  9;RFX20Jun20;2020-06-11T17:25:11Z;RFX20
   36,28;   36,50;0,01;  0,22; 22;WTIJul20;2020-06-11T17:25:11Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:20Z;DO
  122,55;  122,95;0,05;  0,40;  8;GGALJun20;2020-06-11T17:25:20Z;GGAL
 1738,50; 1738,80;0,10;  0,30;  3;OROJul20;2020-06-11T17:25:20Z;ORO
60020,00;60065,00;5,00; 45,00;  9;RFX20Jun20;2020-06-11T17:25:20Z;RFX20
   36,29;   36,50;0,01;  0,21; 21;WTIJul20;2020-06-11T17:25:20Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:28Z;DO
  122,55;  122,90;0,05;  0,35;  7;GGALJun20;2020-06-11T17:25:28Z;GGAL
 1738,50; 1738,80;0,10;  0,30;  3;OROJul20;2020-06-11T17:25:28Z;ORO
60020,00;60065,00;5,00; 45,00;  9;RFX20Jun20;2020-06-11T17:25:28Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:25:28Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:36Z;DO
  122,55;  122,90;0,05;  0,35;  7;GGALJun20;2020-06-11T17:25:36Z;GGAL
 1738,60; 1740,00;0,10;  1,40; 14;OROJul20;2020-06-11T17:25:36Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:25:36Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:25:36Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:44Z;DO
  122,60;  122,95;0,05;  0,35;  7;GGALJun20;2020-06-11T17:25:44Z;GGAL
 1738,60; 1740,00;0,10;  1,40; 14;OROJul20;2020-06-11T17:25:44Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:25:44Z;RFX20
   36,30;   36,50;0,01;  0,20; 20;WTIJul20;2020-06-11T17:25:44Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:51Z;DO
  122,60;  122,95;0,05;  0,35;  7;GGALJun20;2020-06-11T17:25:51Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:25:51Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:25:51Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:25:51Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:25:59Z;DO
  122,60;  123,00;0,05;  0,40;  8;GGALJun20;2020-06-11T17:25:59Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:25:59Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:25:59Z;RFX20
   36,32;   36,50;0,01;  0,18; 18;WTIJul20;2020-06-11T17:25:59Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:07Z;DO
  122,95;  123,05;0,05;  0,10;  2;GGALJun20;2020-06-11T17:26:07Z;GGAL
 1738,60; 1740,00;0,10;  1,40; 14;OROJul20;2020-06-11T17:26:07Z;ORO
